job_id,job_name,company_name,job_location,job_link,query
221de83a0b34d35b,Senior Testing Engineer,BSA Solutions Inc.,Cebu City,https://ph.indeed.com/viewjob?jk=221de83a0b34d35b,AI Engineer
8464f0b080e7aedb,NetSuite Developer,QIMA,6000,https://ph.indeed.com/viewjob?jk=8464f0b080e7aedb,AI Engineer
8b27b7387c22607b,AI Full-Stack Developer (CEBU),Kinettix,Cebu City,https://ph.indeed.com/viewjob?jk=8b27b7387c22607b,AI Engineer
4065393ed1caf586,Continuous Improvement Engineer (F/M) – INTERNSHIP,QIMA,6000,https://ph.indeed.com/viewjob?jk=4065393ed1caf586,AI Engineer
4200719cbb5a846d,Full Stack Engineer (Remote),Hive,Remote in Cebu City,https://ph.indeed.com/viewjob?jk=4200719cbb5a846d,AI Engineer
0e9e615835fa908b,ONSITE Jr. DevOps Engineer,DNA Micro Software Inc.,Cebu City,https://ph.indeed.com/viewjob?jk=0e9e615835fa908b,Machine Learning Engineer
f57ae3b14fd30978,"Junior dev Ops Engineer (on-site, Cebu City, Shifts)",DNA Micro Software Inc.,Cebu City,https://ph.indeed.com/viewjob?jk=f57ae3b14fd30978,Machine Learning Engineer
2f32ea8d18861d1a,Wanted Tech Geeks! (Mid-Career),BLUEWIND ASIA CORPORATION,Cebu City,https://ph.indeed.com/viewjob?jk=2f32ea8d18861d1a,Machine Learning Engineer
868e395412114628,"DevOps Engineer (on-site, Full Time, Cebu City)",DNA Micro Software Inc.,Cebu City,https://ph.indeed.com/viewjob?jk=868e395412114628,Machine Learning Engineer
97660164e6ea9825,Associate Platform Technical Support Manager,TrustArc,Remote in Cebu City,https://ph.indeed.com/viewjob?jk=97660164e6ea9825,Machine Learning Engineer
05ca077a2d7405b6,Backend Developer,Gladness Staffing Services,Remote in Cebu City,https://ph.indeed.com/viewjob?jk=05ca077a2d7405b6,Machine Learning Engineer
50c4e7cb920c9ced,Support Engineer,Boldr,Remote in Cebu City,https://ph.indeed.com/viewjob?jk=50c4e7cb920c9ced,Machine Learning Engineer
937ed055107ee86f,Marketing Operations Specialist,Karbon,Cebu City,https://ph.indeed.com/viewjob?jk=937ed055107ee86f,Machine Learning Operations
c1fbf52e581347d3,Production Planner,Neovia Philippines Inc.,Minglanilla,https://ph.indeed.com/viewjob?jk=c1fbf52e581347d3,Machine Learning Operations
107edcac56ac1b7a,"Specialist, Controls and Governance",Manulife,Lapu-Lapu City,https://ph.indeed.com/viewjob?jk=107edcac56ac1b7a,Machine Learning Operations
9060dee526e94085,Sr Business Process Analyst,Dexcom,Cebu,https://ph.indeed.com/viewjob?jk=9060dee526e94085,Machine Learning Operations
916d92885cf84569,Further Production Supervisor,SMC Integrated Farm Specialist Inc. Cam Sur,Minglanilla,https://ph.indeed.com/viewjob?jk=916d92885cf84569,Machine Learning Operations
28b111453f0a5330,Python Backend Developer,Indivd,Remote in Cebu City,https://ph.indeed.com/viewjob?jk=28b111453f0a5330,Machine Learning Developer
8a656de8a8b50cab,Python Developer,HawodTech Solutions,Central Visayas,https://ph.indeed.com/viewjob?jk=8a656de8a8b50cab,Machine Learning Developer
2f62d2b1b2a5e33c,"Fullstack Developer (Onsite, Dayshift)",BSA Solutions Inc.,Cebu City,https://ph.indeed.com/viewjob?jk=2f62d2b1b2a5e33c,AI Developer
bcda256799dfb71c,Senior Backend Developer,BSA Solutions Inc.,Cebu City,https://ph.indeed.com/viewjob?jk=bcda256799dfb71c,AI Developer
3fe6e2d6e1c03ca8,Senior Frontend Developer,BSA Solutions Inc.,Cebu City,https://ph.indeed.com/viewjob?jk=3fe6e2d6e1c03ca8,AI Developer
6466133b0ee0fce0,Executive Assistant,BSA Solutions Inc.,Cebu City,https://ph.indeed.com/viewjob?jk=6466133b0ee0fce0,AI Consultant
41b9a44c0a9883df,Cloud and Media Analyst,InfoTrust,Cebu City,https://ph.indeed.com/viewjob?jk=41b9a44c0a9883df,AI Consultant
2fef43ce7dc9d9c8,Oracle Cloud Technology Consultant,Accenture,Cebu City,https://ph.indeed.com/viewjob?jk=2fef43ce7dc9d9c8,AI Consultant
